,number,symbol,chart_col,chart_row,chart_x,source,percent,format_percent,source_str,percent_str,source_word
36,21,Sc,3.0,4.0,130.0,"['g', 'c']","['0.823', '0.177']",%.0f,c,0.177,Exploding white dwarfs
37,22,Ti,4.0,4.0,77.0,"['g', 'c']","['0.346', '0.654']",%.0f,g,0.346,Exploding massive stars
38,22,Ti,4.0,4.0,77.0,"['g', 'c']","['0.346', '0.654']",%.0f,c,0.654,Exploding white dwarfs
39,23,V,5.0,4.0,65.0,"['g', 'c']","['0.247', '0.753']",%.0f,g,0.247,Exploding massive stars
40,23,V,5.0,4.0,65.0,"['g', 'c']","['0.247', '0.753']",%.0f,c,0.753,Exploding white dwarfs
41,24,Cr,6.0,4.0,63.0,"['g', 'c']","['0.232', '0.768']",%.0f,g,0.232,Exploding massive stars
42,24,Cr,6.0,4.0,63.0,"['g', 'c']","['0.232', '0.768']",%.0f,c,0.768,Exploding white dwarfs
43,25,Mn,7.0,4.0,53.0,"['g', 'c']","['0.164', '0.836']",%.0f,g,0.164,Exploding massive stars
44,25,Mn,7.0,4.0,53.0,"['g', 'c']","['0.164', '0.836']",%.0f,c,0.836,Exploding white dwarfs
45,26,Fe,8.0,4.0,78.0,"['g', 'c']","['0.356', '0.644']",%.0f,g,0.356,Exploding massive stars
46,26,Fe,8.0,4.0,78.0,"['g', 'c']","['0.356', '0.644']",%.0f,c,0.644,Exploding white dwarfs
47,27,Co,9.0,4.0,75.0,"['g', 'c']","['0.329', '0.671']",%.0f,g,0.329,Exploding massive stars
48,27,Co,9.0,4.0,75.0,"['g', 'c']","['0.329', '0.671']",%.0f,c,0.671,Exploding white dwarfs
49,28,Ni,10.0,4.0,72.0,"['g', 'c']","['0.303', '0.697']",%.0f,g,0.303,Exploding massive stars
50,28,Ni,10.0,4.0,72.0,"['g', 'c']","['0.303', '0.697']",%.0f,c,0.697,Exploding white dwarfs
51,29,Cu,11.0,4.0,85.0,"['g', 'c']","['0.422', '0.578']",%.0f,g,0.422,Exploding massive stars
52,29,Cu,11.0,4.0,85.0,"['g', 'c']","['0.422', '0.578']",%.0f,c,0.578,Exploding white dwarfs
53,30,Zn,12.0,4.0,89.0,"['g', 'c']","['0.463', '0.537']",%.0f,g,0.463,Exploding massive stars
54,30,Zn,12.0,4.0,89.0,"['g', 'c']","['0.463', '0.537']",%.0f,c,0.537,Exploding white dwarfs
55,31,Ga,13.0,4.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
56,32,Ge,14.0,4.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
57,33,As,15.0,4.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
58,34,Se,16.0,4.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
59,35,Br,17.0,4.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
60,36,Kr,18.0,4.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
61,37,Rb,1.0,5.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
62,38,Sr,2.0,5.0,47.0,"['g', 'y']","['0.129', '0.871']",%.0f,g,0.129,Exploding massive stars
63,38,Sr,2.0,5.0,47.0,"['g', 'y']","['0.129', '0.871']",%.0f,y,0.871,Dying low-mass stars
64,39,Y,3.0,5.0,37.0,"['g', 'y']","['0.080', '0.920']",%.0f,g,0.080,Exploding massive stars
65,39,Y,3.0,5.0,37.0,"['g', 'y']","['0.080', '0.920']",%.0f,y,0.920,Dying low-mass stars
66,40,Zr,4.0,5.0,53.0,"['g', 'y']","['0.164', '0.836']",%.0f,g,0.164,Exploding massive stars
67,40,Zr,4.0,5.0,53.0,"['g', 'y']","['0.164', '0.836']",%.0f,y,0.836,Dying low-mass stars
68,41,Nb,5.0,5.0,48.0,"['o', 'y']","['0.135', '0.865']",%.0f,o,0.135,Merging neutron stars
69,41,Nb,5.0,5.0,48.0,"['o', 'y']","['0.135', '0.865']",%.0f,y,0.865,Dying low-mass stars
70,42,Mo,6.0,5.0,80.0,"['o', 'y']","['0.374', '0.626']",%.0f,o,0.374,Merging neutron stars
